"id";"rank";"name";"employees";"previousrank";"revenues";"revenuechange";"profits";"profitschange";"assets";"marketvalue"
"2";"1";"Walmart";"2,300,000";"1";"$485,873";"0.8%";"$13,643.0 ";"-7.2%";"$198,825";"$218,619"
"3";"2";"Berkshire Hathaway";"367,700";"4";"$223,604";"6.1%";"$24,074.0 ";"0.0%";"$620,854";"$411,035"
"4";"3";"Apple";"116,000";"3";"$215,639";"-7.7%";"$45,687.0 ";"-14.4%";"$321,686";"$753,718"
"5";"4";"Exxon Mobil";"72,700";"2";"$205,004";"-16.7%";"$7,840.0 ";"-51.5%";"$330,314";"$340,056"
"6";"5";"McKesson";"68,000";"5";"$192,487";"6.2%";"$2,258.0 ";"53.0%";"$56,563";"$31,439"
"7";"6";"UnitedHealth Group";"230,000";"6";"$184,840";"17.7%";"$7,017.0 ";"20.7%";"$122,810";"$157,793"
"8";"7";"CVS Health";"204,000";"7";"$177,526";"15.8%";"$5,317.0 ";"1.5%";"$94,462";"$81,310"
"9";"8";"General Motors";"225,000";"8";"$166,380";"9.2%";"$9,427.0 ";"-2.7%";"$221,690";"$52,968"
"10";"9";"AT&T";"268,540";"10";"$163,786";"11.6%";"$12,976.0 ";"-2.8%";"$403,821";"$255,679"
"11";"10";"Ford Motor";"201,000";"9";"$151,800";"1.5%";"$4,596.0 ";"-37.7%";"$237,951";"$46,349"
"12";"11";"AmerisourceBergen";"18,500";"12";"$146,850";"8.0%";"$1,427.9 ";"-";"$33,656";"$19,229"
"13";"12";"Amazon.com";"341,400";"18";"$135,987";"27.1%";"$2,371.0 ";"297.8%";"$83,402";"$423,031"
"14";"13";"General Electric";"295,000";"11";"$126,661";"-9.8%";"$8,831.0 ";"-";"$365,183";"$259,520"
"15";"14";"Verizon";"160,900";"13";"$125,980";"-4.3%";"$13,127.0 ";"-26.6%";"$244,180";"$198,900"
"16";"15";"Cardinal Health";"37,300";"21";"$121,546";"18.5%";"$1,427.0 ";"17.4%";"$34,122";"$25,725"
"17";"16";"Costco";"172,000";"15";"$118,719";"2.2%";"$2,350.0 ";"-1.1%";"$33,163";"$73,606"
"18";"17";"Walgreens Boots Alliance";"300,000";"19";"$117,351";"13.4%";"$4,173.0 ";"-1.1%";"$72,688";"$89,645"
"19";"18";"Kroger";"443,000";"17";"$115,337";"5.0%";"$1,975.0 ";"-3.1%";"$36,505";"$26,961"
"20";"19";"Chevron";"55,200";"14";"$107,567";"-18.0%";"-$497.0 ";"-110.8%";"$260,078";"$203,263"
"21";"20";"Fannie Mae";"7,000";"16";"$107,162";"-2.9%";"$12,313.0 ";"12.4%";"$3,287,968";"$3,011"
"22";"21";"J.P. Morgan Chase";"243,355";"23";"$105,486";"4.4%";"$24,733.0 ";"1.2%";"$2,490,972";"$313,761"
"23";"22";"Express Scripts Holding";"25,600";"22";"$100,288";"-1.4%";"$3,404.4 ";"37.5%";"$51,745";"$39,567"
"24";"23";"Home Depot";"406,000";"28";"$94,595";"6.9%";"$7,957.0 ";"13.5%";"$42,966";"$176,368"
"25";"24";"Boeing";"150,540";"24";"$94,571";"-1.6%";"$4,895.0 ";"-5.4%";"$89,997";"$107,546"
"26";"25";"Wells Fargo";"269,100";"27";"$94,176";"4.6%";"$21,938.0 ";"-4.2%";"$1,930,115";"$278,516"
"27";"26";"Bank of America Corp.";"208,024";"26";"$93,662";"0.7%";"$17,906.0 ";"12.7%";"$2,187,702";"$236,182"
"28";"27";"Alphabet";"72,053";"36";"$90,272";"20.4%";"$19,478.0 ";"19.1%";"$167,497";"$579,426"
"29";"28";"Microsoft";"114,000";"25";"$85,320";"-8.8%";"$16,798.0 ";"37.8%";"$193,694";"$508,935"
"30";"29";"Anthem";"53,000";"33";"$84,863";"7.2%";"$2,469.8 ";"-3.5%";"$65,083";"$43,813"
"31";"30";"Citigroup";"219,000";"29";"$82,386";"-6.7%";"$14,912.0 ";"-13.5%";"$1,792,077";"$165,394"
"32";"31";"Comcast";"159,000";"37";"$80,403";"7.9%";"$8,695.0 ";"6.5%";"$180,500";"$178,258"
"33";"32";"IBM";"414,400";"31";"$79,919";"-3.1%";"$11,872.0 ";"-10.0%";"$117,470";"$164,251"
"34";"33";"State Farm Insurance Cos.";"68,234";"35";"$76,132";"0.6%";"$350.3 ";"-94.4%";"$256,030";"-"
"35";"34";"Phillips 66";"14,800";"30";"$72,396";"-16.9%";"$1,555.0 ";"-63.2%";"$51,653";"$40,954"
"36";"35";"Johnson & Johnson";"126,400";"39";"$71,890";"2.6%";"$16,540.0 ";"7.3%";"$141,208";"$337,642"
"37";"36";"Procter & Gamble";"105,000";"34";"$71,726";"-8.9%";"$10,508.0 ";"49.3%";"$127,136";"$229,700"
"38";"37";"Valero Energy";"9,996";"32";"$70,166";"-14.2%";"$2,289.0 ";"-42.6%";"$46,173";"$29,746"
"39";"38";"Target";"323,000";"38";"$69,495";"-5.8%";"$2,737.0 ";"-18.6%";"$37,431";"$30,502"
"40";"39";"Freddie Mac";"5,982";"43";"$65,665";"3.4%";"$7,815.0 ";"22.6%";"$2,023,376";"$1,612"
"41";"40";"Lowe";"240,000";"47";"$65,017";"10.1%";"$3,093.0 ";"21.5%";"$34,408";"$70,481"
"42";"41";"Dell Technologies";"138,000";;"$64,806";"18.1%";"-$1,672.0 ";"-";"$118,206";"-"
"43";"42";"MetLife";"58,000";"40";"$63,476";"-9.3%";"$800.0 ";"-84.9%";"$898,764";"$57,429"
"44";"43";"Aetna";"49,500";"46";"$63,155";"4.7%";"$2,271.0 ";"-5.0%";"$69,146";"$44,859"
"45";"44";"PepsiCo";"264,000";"44";"$62,799";"-0.4%";"$6,329.0 ";"16.1%";"$74,129";"$159,763"
"46";"45";"Archer Daniels Midland";"31,800";"41";"$62,346";"-7.9%";"$1,279.0 ";"-30.8%";"$39,769";"$26,274"
"47";"46";"UPS";"335,520";"48";"$60,906";"4.4%";"$3,431.0 ";"-29.2%";"$40,377";"$93,276"
"48";"47";"Intel";"106,000";"51";"$59,387";"7.3%";"$10,316.0 ";"-9.7%";"$113,327";"$170,539"
"49";"48";"Prudential Financial";"49,739";"50";"$58,779";"2.9%";"$4,368.0 ";"-22.6%";"$783,962";"$45,912"
"50";"49";"Albertsons Cos.";"274,000";;"$58,734";"115.9%";"-$502.2 ";"-";"$23,770";"-"
"51";"50";"United Technologies";"201,600";"45";"$57,244";"-6.2%";"$5,055.0 ";"-33.6%";"$89,706";"$89,957"
"52";"51";"Marathon Petroleum";"44,460";"42";"$55,858";"-13.5%";"$1,174.0 ";"-58.8%";"$44,413";"$26,679"
"53";"52";"Disney";"195,000";"53";"$55,632";"6.0%";"$9,391.0 ";"12.0%";"$92,033";"$179,298"
"54";"53";"Humana";"51,600";"52";"$54,379";"0.2%";"$614.0 ";"-51.9%";"$25,396";"$29,743"
"55";"54";"Pfizer";"96,500";"55";"$52,824";"8.1%";"$7,215.0 ";"3.7%";"$171,615";"$203,725"
"56";"55";"AIG";"56,400";"49";"$52,367";"-10.2%";"-$849.0 ";"-138.7%";"$498,264";"$61,154"
"57";"56";"Lockheed Martin";"97,000";"60";"$50,658";"9.8%";"$5,302.0 ";"47.1%";"$47,806";"$77,557"
"58";"57";"Sysco";"51,900";"57";"$50,367";"3.5%";"$949.6 ";"38.3%";"$16,722";"$28,048"
"59";"58";"FedEx";"335,767";"58";"$50,365";"6.1%";"$1,820.0 ";"73.3%";"$46,064";"$52,178"
"60";"59";"Hewlett Packard Enterprise";"195,000";;"$50,123";"-";"$3,161.0 ";"-";"$79,679";"$39,288"
"61";"60";"Cisco Systems";"73,700";"54";"$49,247";"0.2%";"$10,739.0 ";"19.6%";"$121,652";"$169,266"
"62";"61";"HP";"49,000";"20";"$48,238";"-53.3%";"$2,496.0 ";"-45.2%";"$29,010";"$30,231"
"63";"62";"Dow Chemical";"56,000";"56";"$48,158";"-1.3%";"$4,318.0 ";"-43.8%";"$79,511";"$77,460"
"64";"63";"HCA Holdings";"210,500";"63";"$44,747";"2.7%";"$2,890.0 ";"35.7%";"$33,758";"$32,966"
"65";"64";"Coca-Cola";"100,300";"62";"$41,863";"-5.5%";"$6,527.0 ";"-11.2%";"$87,270";"$182,153"
"66";"65";"New York Life Insurance";"11,320";"61";"$40,787";"-11.1%";"$1,088.1 ";"324.1%";"$287,196";"-"
"67";"66";"Centene";"30,500";"124";"$40,721";"78.6%";"$562.0 ";"58.3%";"$20,197";"$12,271"
"68";"67";"American Airlines Group";"122,300";"67";"$40,180";"-2.0%";"$2,676.0 ";"-64.8%";"$51,274";"$21,326"
"69";"68";"Nationwide";"34,320";"69";"$40,074";"-0.4%";"$334.3 ";"-42.4%";"$197,790";"-"
"70";"69";"Merck";"68,000";"72";"$39,807";"0.8%";"$3,920.0 ";"-11.8%";"$95,377";"$174,454"
"71";"70";"Cigna";"41,000";"79";"$39,668";"4.7%";"$1,867.0 ";"-10.8%";"$59,360";"$37,604"
"72";"71";"Delta Air Lines";"83,756";"68";"$39,639";"-2.6%";"$4,373.0 ";"-3.4%";"$51,261";"$33,586"
"73";"72";"Best Buy";"125,000";"71";"$39,403";"-0.9%";"$1,228.0 ";"36.9%";"$13,856";"$15,193"
"74";"73";"Honeywell International";"131,000";"75";"$39,302";"1.9%";"$4,809.0 ";"0.9%";"$54,146";"$94,991"
"75";"74";"Caterpillar";"95,400";"59";"$38,537";"-18.0%";"-$67.0 ";"-103.2%";"$74,704";"$54,402"
"76";"75";"Liberty Mutual Insurance Group";"50,000";"73";"$38,308";"-2.9%";"$1,006.0 ";"95.7%";"$125,592";"-"
"77";"76";"Morgan Stanley";"55,311";"78";"$37,949";"0.1%";"$5,979.0 ";"-2.4%";"$814,949";"$79,947"
"78";"77";"Massachusetts Mutual Life Insurance";"11,737";"76";"$37,788";"-1.2%";"$1,273.5 ";"-10.6%";"$271,040";"-"
"79";"78";"Goldman Sachs Group";"34,400";"74";"$37,712";"-3.8%";"$7,398.0 ";"21.6%";"$860,165";"$91,380"
"80";"79";"Energy Transfer Equity";"30,992";"65";"$37,504";"-11.0%";"$995.0 ";"-16.3%";"$79,011";"$21,292"
"81";"80";"TIAA";"12,997";"82";"$37,105";"5.5%";"$1,492.3 ";"22.9%";"$523,194";"-"
"82";"81";"Oracle";"136,000";"77";"$37,047";"-3.1%";"$8,901.0 ";"-10.4%";"$112,180";"$183,556"
"83";"82";"Tyson Foods";"114,000";"66";"$36,881";"-10.9%";"$1,768.0 ";"44.9%";"$22,373";"$22,028"
"84";"83";"United Continental Holdings";"88,000";"80";"$36,556";"-3.5%";"$2,263.0 ";"-69.2%";"$40,140";"$22,225"
"85";"84";"Allstate";"43,275";"81";"$36,534";"2.5%";"$1,877.0 ";"-13.5%";"$108,610";"$29,754"
"86";"85";"Publix Super Markets";"191,000";"87";"$34,274";"5.1%";"$2,025.7 ";"3.1%";"$17,464";"-"
"87";"86";"American Express";"56,400";"85";"$33,823";"-1.8%";"$5,408.0 ";"4.7%";"$158,893";"$71,193"
"88";"87";"TJX";"235,000";"89";"$33,184";"7.2%";"$2,298.2 ";"0.9%";"$12,884";"$51,053"
"89";"88";"Nike";"70,700";"91";"$32,376";"5.8%";"$3,760.0 ";"14.9%";"$21,396";"$92,204"
"90";"89";"Exelon";"34,396";"95";"$31,360";"6.5%";"$1,134.0 ";"-50.0%";"$114,904";"$33,309"
"91";"90";"General Dynamics";"98,800";"88";"$31,353";"-0.4%";"$2,955.0 ";"-0.3%";"$32,872";"$56,791"
"92";"91";"Rite Aid";"70,580";"107";"$30,737";"15.9%";"$165.5 ";"-92.2%";"$11,277";"$4,473"
"93";"92";"Gilead Sciences";"9,000";"86";"$30,390";"-6.9%";"$13,501.0 ";"-25.4%";"$56,977";"$88,788"
"94";"93";"CHS";"12,157";"84";"$30,347";"-12.2%";"$424.2 ";"-45.7%";"$17,318";"-"
"95";"94";"3M";"91,584";"93";"$30,109";"-0.5%";"$5,050.0 ";"4.5%";"$32,906";"$114,338"
"96";"95";"Time Warner";"25,000";"99";"$29,318";"4.3%";"$3,926.0 ";"2.4%";"$65,966";"$75,660"
"97";"96";"Charter Communications";"91,500";"292";"$29,003";"197.3%";"$3,522.0 ";"-";"$149,067";"$100,595"
"98";"97";"Northwestern Mutual";"5,646";"100";"$28,799";"2.4%";"$818.0 ";"0.4%";"$250,441";"-"
"99";"98";"Facebook";"17,048";"157";"$27,638";"54.2%";"$10,217.0 ";"177.0%";"$64,961";"$410,522"
"100";"99";"Travelers Cos.";"30,900";"105";"$27,625";"3.1%";"$3,014.0 ";"-12.4%";"$100,245";"$33,689"
"101";"100";"Capital One Financial";"47,300";"112";"$27,519";"9.6%";"$3,751.0 ";"-7.4%";"$357,033";"$41,831"
"102";"101";"Twenty-First Century Fox";"21,500";"96";"$27,326";"-5.7%";"$2,755.0 ";"-66.8%";"$48,365";"$59,949"
"103";"102";"USAA";"29,943";"114";"$27,131";"11.4%";"$1,779.1 ";"-21.7%";"$147,290";"-"
"104";"103";"World Fuel Services";"5,000";"92";"$27,016";"-11.1%";"$126.5 ";"-27.5%";"$5,413";"$2,535"
"105";"104";"Philip Morris International";"79,500";"106";"$26,685";"-0.4%";"$6,967.0 ";"1.4%";"$36,851";"$175,349"
"106";"105";"Deere";"56,767";"97";"$26,644";"-7.7%";"$1,523.9 ";"-21.4%";"$57,981";"$34,648"
"107";"106";"Kraft Heinz";"41,000";"153";"$26,487";"44.4%";"$3,632.0 ";"472.9%";"$120,480";"$110,528"
"108";"107";"Tech Data";"9,500";"108";"$26,235";"-0.5%";"$195.1 ";"-26.6%";"$7,932";"$3,569"
"109";"108";"Avnet";"17,700";"102";"$26,219";"-6.1%";"$506.5 ";"-11.4%";"$11,240";"$5,898"
"110";"109";"Mondelez International";"90,000";"102";"$25,923";"-12.5%";"$1,659.0 ";"-77.2%";"$61,538";"$65,676"
"111";"110";"Macy";"148,300";"103";"$25,778";"-4.8%";"$619.0 ";"-42.3%";"$19,851";"$9,046"
"112";"111";"AbbVie";"30,000";"123";"$25,638";"12.2%";"$5,953.0 ";"15.7%";"$66,099";"$103,838"
"113";"112";"McDonald";"375,000";"109";"$24,622";"-3.1%";"$4,686.5 ";"3.5%";"$31,024";"$106,150"
"114";"113";"DuPont";"46,000";"101";"$24,594";"-12.0%";"$2,513.0 ";"28.7%";"$39,964";"$69,451"
"115";"114";"Northrop Grumman";"67,000";"118";"$24,508";"4.2%";"$2,200.0 ";"10.6%";"$25,614";"$41,577"
"116";"115";"ConocoPhillips";"13,300";"90";"$24,360";"-21.3%";"-$3,615.0 ";"-";"$89,772";"$61,692"
"117";"116";"Raytheon";"63,000";"120";"$24,069";"3.5%";"$2,211.0 ";"6.6%";"$30,052";"$44,664"
"118";"117";"Tesoro";"6,308";"98";"$24,005";"-14.7%";"$734.0 ";"-52.3%";"$20,398";"$9,515"
"119";"118";"Arrow Electronics";"18,700";"119";"$23,825";"2.3%";"$522.8 ";"5.0%";"$14,206";"$6,546"
"120";"119";"Qualcomm";"30,500";"110";"$23,554";"-6.8%";"$5,705.0 ";"8.2%";"$52,359";"$84,694"
"121";"120";"Progressive";"31,721";"137";"$23,441";"12.4%";"$1,031.0 ";"-18.7%";"$33,428";"$22,760"
"122";"121";"Duke Energy";"28,798";"115";"$23,369";"-1.0%";"$2,152.0 ";"-23.6%";"$132,761";"$57,397"
"123";"122";"Enterprise Products Partners";"6,800";"104";"$23,022";"-14.8%";"$2,513.1 ";"-0.3%";"$52,194";"$58,522"
"124";"123";"Amgen";"19,200";"130";"$22,991";"6.1%";"$7,722.0 ";"11.3%";"$77,626";"$120,830"
"125";"124";"US Foods Holding";"25,000";"122";"$22,919";"-0.9%";"$209.8 ";"25.2%";"$8,945";"$6,207"
"126";"125";"U.S. Bancorp";"71,191";"131";"$22,744";"5.8%";"$5,888.0 ";"0.2%";"$445,964";"$87,201"
"127";"126";"Aflac";"10,212";"135";"$22,559";"8.1%";"$2,659.0 ";"5.0%";"$129,819";"$29,053"
"128";"127";"Sears Holdings";"140,000";"111";"$22,138";"-12.0%";"-$2,221.0 ";"-";"$9,362";"$1,231"
"129";"128";"Dollar General";"121,000";"139";"$21,987";"7.9%";"$1,251.1 ";"7.4%";"$11,672";"$19,182"
"130";"129";"AutoNation";"26,000";"136";"$21,609";"3.6%";"$430.5 ";"-2.7%";"$10,060";"$4,268"
"131";"130";"Community Health Systems";"108,000";"125";"$21,374";"-5.8%";"-$1,721.0 ";"-";"$21,944";"$1,010"
"132";"131";"Starbucks";"254,000";"146";"$21,316";"11.2%";"$2,817.7 ";"2.2%";"$14,330";"$85,092"
"133";"132";"Eli Lilly";"41,975";"141";"$21,222";"6.3%";"$2,737.6 ";"13.7%";"$38,806";"$92,803"
"134";"133";"International Paper";"55,000";"127";"$21,079";"-5.8%";"$904.0 ";"-3.6%";"$33,345";"$20,884"
"135";"134";"Tenet Healthcare";"116,475";"140";"$21,070";"4.8%";"-$192.0 ";"-";"$24,701";"$1,777"
"136";"135";"Abbott Laboratories";"75,000";"138";"$20,853";"0.9%";"$1,400.0 ";"-68.3%";"$52,666";"$76,740"
"137";"136";"Dollar Tree";"116,050";"180";"$20,719";"33.7%";"$896.2 ";"217.4%";"$15,702";"$18,540"
"138";"137";"Whirlpool";"93,000";"134";"$20,718";"-0.8%";"$888.0 ";"13.4%";"$19,153";"$12,762"
"139";"138";"Southwest Airlines";"53,536";"142";"$20,425";"3.1%";"$2,244.0 ";"2.9%";"$23,286";"$33,076"
"140";"139";"Emerson Electric";"103,500";"128";"$20,268";"-9.1%";"$1,635.0 ";"-39.7%";"$21,743";"$38,614"
"141";"140";"Staples";"61,503";"132";"$20,217";"-4.0%";"-$1,497.0 ";"-494.8%";"$8,271";"$5,723"
"142";"141";"Plains GP Holdings";"5,100";"121";"$20,182";"-12.8%";"$94.0 ";"-20.3%";"$26,103";"$9,127"
"143";"142";"Penske Automotive Group";"24,000";"143";"$20,143";"4.0%";"$342.9 ";"5.2%";"$8,861";"$4,001"
"144";"143";"Union Pacific";"42,919";"129";"$19,941";"-8.6%";"$4,233.0 ";"-11.3%";"$55,718";"$85,911"
"145";"144";"Danaher";"62,000";"133";"$19,912";"-4.8%";"$2,553.7 ";"-23.9%";"$45,295";"$59,359"
"146";"145";"Southern";"32,015";"162";"$19,896";"13.8%";"$2,448.0 ";"3.4%";"$109,697";"$49,335"
"147";"146";"ManpowerGroup";"28,000";"144";"$19,654";"1.7%";"$443.7 ";"5.8%";"$7,574";"$6,938"
"148";"147";"Bristol-Myers Squibb";"25,000";"168";"$19,427";"17.3%";"$4,457.0 ";"184.8%";"$33,707";"$89,591"
"149";"148";"Altria Group";"8,300";"149";"$19,337";"2.6%";"$14,239.0 ";"171.7%";"$45,932";"$138,513"
"150";"149";"Fluor";"61,551";"155";"$19,037";"5.1%";"$281.4 ";"-31.8%";"$9,216";"$7,353"
"151";"150";"Kohl";"85,000";"145";"$18,686";"-2.7%";"$556.0 ";"-17.4%";"$13,574";"$6,862"
"152";"151";"Lear";"148,400";"154";"$18,558";"1.9%";"$975.1 ";"30.8%";"$9,901";"$9,726"
"153";"152";"Jabil Circuit";"138,000";"158";"$18,353";"2.5%";"$254.1 ";"-10.5%";"$10,323";"$5,270"
"154";"153";"Hartford Financial Services Group";"16,900";"152";"$18,300";"-0.4%";"$896.0 ";"-46.7%";"$223,432";"$17,795"
"155";"154";"Thermo Fisher Scientific";"54,800";"164";"$18,274";"7.7%";"$2,021.8 ";"2.3%";"$45,908";"$59,964"
"156";"155";"Kimberly-Clark";"42,000";"151";"$18,202";"-2.1%";"$2,166.0 ";"113.8%";"$14,602";"$46,828"
"157";"156";"Molina Healthcare";"21,000";"201";"$17,782";"25.4%";"$52.0 ";"-63.6%";"$7,449";"$2,601"
"158";"157";"PG&E Corp.";"24,000";"166";"$17,666";"4.9%";"$1,393.0 ";"59.4%";"$68,598";"$33,696"
"159";"158";"Supervalu";"38,000";"160";"$17,529";"-1.6%";"$178.0 ";"-7.3%";"$4,370";"$1,033"
"160";"159";"Cummins";"55,400";"148";"$17,509";"-8.4%";"$1,394.0 ";"-0.4%";"$15,011";"$25,397"
"161";"160";"CenturyLink";"40,000";"159";"$17,470";"-2.4%";"$626.0 ";"-28.7%";"$47,017";"$12,883"
"162";"161";"AECOM";"87,000";"156";"$17,411";"-3.2%";"$96.1 ";"-";"$13,727";"$5,528"
"163";"162";"Xerox";"133,600";"150";"$17,126";"-8.2%";"-$477.0 ";"-200.6%";"$18,145";"$7,462"
"164";"163";"Marriott International";"226,500";"195";"$17,072";"17.9%";"$780.0 ";"-9.2%";"$24,140";"$36,124"
"165";"164";"Paccar";"23,000";"147";"$17,033";"-10.9%";"$521.7 ";"-67.5%";"$20,639";"$23,604"
"166";"165";"General Mills";"39,000";"161";"$16,563";"-6.1%";"$1,697.4 ";"39.0%";"$21,712";"$33,998"
